crash_id,location_id
20242240,L375
20243139,L376
20243075,L377
20244051,L378
20241070,L379
20244079,L380
20243051,L98
20243051,L98
20243051,L98
20242237,L381
20243148,L382
20242157,L383
20244022,L384
20241142,L385
20241124,L386
20241010,L33
20241252,L210
20243155,L342
20243163,L387
20243269,L388
20243056,L389
20243049,L390
20243103,L391
20242233,L392
20243014,L393
20241198,L307
20242249,L394
20243154,L148
20243154,L148
20243154,L148
20241100,L395
20241074,L129
20243263,L396
20242016,L397
20244017,L398
20244009,L399
20242085,L400
20244012,L303
20243205,L218
20241035,L401
20241161,L402
20241062,L403
20243119,L161
20241155,L404
20243152,L405
20243053,L190
20241039,L262
20242154,L406
20242154,L406
20243215,L407
20243026,L190
20241050,L408
20243271,L140
20241133,L409
20248008,L193
20244037,L410
20242143,L306
20241273,L332
20242067,L411
20242214,L412
20243238,L413
20242011,L338
20241180,L256
20241059,L414
20241021,L415
20242254,L416
20243256,L14
20241245,L417
20243126,L418
20244082,L53
20244082,L53
20241108,L419
20242137,L420
20241005,L421
20241051,L422
20243128,L314
20242109,L423
20241116,L424
20243226,L425
20242092,L426
20242125,L358
20244077,L240
20242049,L427
20243265,L294
20243122,L198
20243151,L428
20241283,L429
20242262,L430
20242100,L431
20242211,L432
20241168,L307
20241168,L307
20241162,L344
20241162,L344
20241073,L15
20243097,L433
20243097,L433
20243097,L433
20242182,L434
20243123,L177
20242044,L435
20241120,L21
20242266,L436
20241048,L437
20243023,L438
20243137,L115
20241200,L439
20242151,L440
20242151,L440
20242223,L441
20241259,L442
20241264,L37
20243086,L438
20242215,L323
20246012,L443
20244068,L444
20241296,L20
20241006,L445
20241006,L445
20241258,L446
20241290,L447
20241056,L448
20241290,L447
20242014,L449
20241251,L48
20243076,L450
20243162,L451
20242027,L452
20243029,L453
20243029,L453
20242179,L310
20244080,L454
20242241,L187
20244047,L455
20241041,L456
20241165,L457
20242077,L381
20242078,L252
20242017,L78
20243223,L75
20241271,L16
20242217,L458
20242245,L459
20241170,L460
20242199,L86
20241177,L461
20246015,L462
20242165,L215
20241011,L463
20243260,L464
20243260,L464
20243260,L464
20241083,L465
20241083,L465
20246006,L107
20244058,L410
20243218,L466
20241089,L467
20243146,L468
20241295,L469
20243264,L125
20241136,L320
20241281,L470
20241136,L320
20241076,L471
20244073,L472
20242094,L473
20241058,L474
20241019,L475
20241275,L476
20243222,L102
20241065,L477
20243094,L478
20243145,L479
20241305,L480
20242146,L337
20242146,L337
20241231,L68
20241145,L48
20241228,L481
20243030,L185
20243034,L468
20242058,L416
20241085,L214
20243091,L115
20243184,L230
20242104,L482
20248004,L483
20242101,L484
20243195,L485
20243055,L464
20241212,L486
20241241,L487
20243071,L158
20241171,L488
20243193,L489
20243193,L489
20244011,L303
20244011,L303
20244011,L303
20242225,L490
20242160,L491
20241183,L44
20241025,L17
20241079,L492
20241079,L492
20246010,L493
20242235,L494
20242113,L412
20242025,L79
20241148,L255
20241262,L120
20241172,L120
20242192,L495
20241014,L189
20242191,L358
20243189,L496
20244033,L303
20241206,L497
20243069,L263
20243188,L292
20241130,L498
20241178,L271
20241178,L271
20248011,L103
20241043,L499
20244054,L500
20243032,L501
20244015,L110
20243112,L140
20243253,L218
20246028,L502
20242244,L503
20244006,L99
20241154,L504
20241146,L505
20242009,L506
20241217,L71
20242030,L507
20243025,L508
20242168,L509
20246021,L510
20241238,L511
20241158,L386
