crash_id,date_id
20244072,D228
20241195,D229
20244043,D230
20241102,D231
20243194,D232
20243070,D233
20243165,D234
20241063,D235
20241132,D236
20241292,D237
20241189,D238
20241233,D239
20241233,D239
20241233,D239
20241233,D239
20242115,D240
20242167,D241
20241016,D242
20243234,D243
20246025,D243
20241220,D244
20241034,D245
20242012,D246
20243009,D247
20243009,D247
20241269,D248
20242093,D249
20242176,D250
20242255,D251
20241066,D252
20242175,D253
20243207,D254
20242029,D255
20241246,D256
20241078,D257
20243064,D258
20241013,D259
20241013,D259
20246019,D260
20242257,D261
20241138,D262
20244014,D263
20244069,D264
20242053,D264
20243111,D265
20243067,D266
20242186,D267
20242250,D268
20243167,D269
20243106,D270
20242098,D271
20241179,D272
20242070,D273
20243261,D274
20243227,D275
20242243,D276
20242102,D277
20241109,D278
20243187,D279
20241301,D280
20243135,D281
20241248,D282
20243268,D283
20242071,D284
20241020,D285
20241294,D286
20241304,D287
20242123,D288
20242144,D289
20241199,D290
20241199,D290
20243066,D291
20243233,D292
20243203,D292
20242209,D293
20242056,D294
20242130,D295
20243109,D296
20243109,D296
20243010,D297
20243181,D298
20246018,D299
20241071,D300
20241186,D301
20243078,D302
20241223,D303
20241221,D304
20241143,D305
20243242,D306
20242189,D307
20242170,D308
20243043,D309
20241140,D310
20244063,D311
20241131,D312
20242172,D313
20241111,D314
20242055,D315
20241017,D316
20244067,D317
20246024,D318
20241254,D319
20241254,D319
20243011,D320
20246011,D321
20242177,D322
20241127,D323
20241210,D324
20242132,D325
20242132,D325
20242184,D326
20241253,D327
20243024,D327
20242224,D328
20243031,D329
20242069,D330
20243156,D331
20242251,D332
20244034,D333
20242090,D334
20243231,D335
20243231,D335
20243231,D335
20242194,D336
20243142,D337
20242043,D338
20243124,D339
20244007,D340
20242060,D341
20243104,D342
20244041,D343
20246026,D344
20243021,D345
20242155,D346
20242032,D347
20241285,D348
20244066,D349
20242064,D350
20242164,D351
20244035,D352
20243018,D353
20242086,D354
20243217,D355
20243251,D356
20243058,D357
20244046,D358
20243085,D359
20244039,D360
20243240,D361
20246002,D362
20246002,D362
20242099,D363
20242099,D363
20243063,D364
20241176,D364
20247022,D365
20241086,D366
20241224,D367
20241265,D368
20241202,D369
20246023,D370
20241293,D371
20241299,D372
20244078,D373
20243164,D374
20242201,D375
20241307,D376
20242074,D377
20242074,D377
20241243,D378
20241243,D378
20247034,D379
20241260,D380
20243004,D381
20246014,D382
20246014,D382
20242024,D383
20243169,D384
20243081,D384
20243081,D384
20242169,D385
20241110,D386
20241082,D387
20241159,D388
20246022,D389
20241229,D390
20242026,D391
20242268,D392
20242238,D393
20242122,D394
20241046,D395
20241046,D395
20241046,D395
20243192,D396
20241032,D397
20241032,D397
20241031,D398
20243254,D399
20243133,D399
20241203,D400
20243118,D401
20243173,D402
20243199,D403
20244003,D404
20241298,D405
20242112,D406
20242112,D406
20243092,D407
20243042,D408
20244005,D409
20243178,D410
20244050,D411
20241208,D412
20242259,D413
20242212,D414
20243019,D415
20241036,D416
20242226,D417
20247007,D418
20243074,D419
20241003,D420
20241277,D421
20241249,D422
20242020,D423
20242108,D424
20243120,D425
20242187,D426
20243116,D427
20243116,D427
20242133,D428
20241092,D429
20242121,D430
20243214,D431
20241118,D432
20243157,D433
20241190,D434
20241097,D435
20242265,D436
20242265,D436
20241250,D437
20242200,D438
20242234,D439
20242048,D440
20242003,D441
20243252,D442
20243252,D442
20243061,D442
20242162,D443
20244071,D444
20241047,D445
20241205,D446
20241024,D447
20242096,D448
20242240,D449
20243139,D450
20243075,D451
20244051,D452
20241070,D453
20244079,D453
20243051,D454
20243051,D454
20243051,D454
20242237,D455
20243148,D456
20242157,D457
20244022,D458
20241142,D459
20241124,D460
20241010,D461
20241252,D462
20243155,D463
20243163,D464
20243269,D465
20243056,D466
20243049,D467
20243103,D468
20242233,D469
20243014,D470
20241198,D471
20242249,D472
20243154,D473
20243154,D473
20243154,D473
20241100,D474
20241074,D475
20243263,D476
20242016,D476
